Plot,Site,Reef,TL_id,Taxa,Area,Bleaching,lat,long,Zone,ubedmean,Date_2022,Date_bleaching,DHW,rugosity_plane,fd_rugosity_plane,slope,Cross_shelf,log_area,Exposure
OCCH_BA1S_P1,OCCH_BA1S,OCCH,108,Adgt,0.015678204,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.80470369,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,107,Adgt,0.007917218,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.101427395,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,105,Adgt,0.014620782,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.835029387,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,4,Pmas,0.002903638,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.537057573,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,40,Pmas,0.006614204,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.179522408,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,41,Pmas,0.003689731,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.433005304,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,42,Pver,0.00589518,6,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.229502951,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,53,Pmas,0.003532348,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.451936551,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,109,Acor,0.003695177,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.432364783,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,59,Acor,0.018231104,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.739187027,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,52,Pmas,0.003590625,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.444829979,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,0,Pmas,0.01300492,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.885892327,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,1,Pmas,0.008624867,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.064247597,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,2,Pmas,0.007923432,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.101086644,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,14,Pmas,0.000489936,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-3.309860418,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,67,Lobo_sp,0.005878704,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.230718398,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,69,Menc,0.004324376,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.364076586,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,50,Pver,0.016844821,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.77353361,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,62,Acor,0.003765376,4,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.42419162,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,112,Adgt,0.033593451,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.473745385,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,111,Adgt,0.004442535,4,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.352369159,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,35,Pmas,0.012577628,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.900401242,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,33,Pmas,0.003815847,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.418409005,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,91,Menc,0.003346792,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.475371264,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,92,Menc,0.006233484,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.205269179,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,94,Menc,0.006054021,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.217956073,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,96,Menc,0.004062825,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.391171868,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,45,Spis,0.007136772,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.14649818,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,51,Pmas,0.004337135,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.362797081,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,100,Abra,0.014207674,5,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.847477031,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,101,Menc,0.004794934,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.319217407,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,54,Acor,0.010112723,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.995131872,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,55,Acor,0.032356369,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.490040216,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,57,Acor,0.008834914,4,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.053797661,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,58,Acor,0.022888556,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.640381613,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,118,Gspp,0.004590127,2,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.338175259,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,117,Gspp,0.002854581,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.544457586,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,115,Gspp,0.004488474,2,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.347901297,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,114,Adgt,0.009987233,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.000554812,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,60,Acor,0.007622961,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.117876318,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,10,Pver,0.012089313,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.917598368,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,19,Pmas,0.014332594,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.8436752,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,20,Pmas,0.004839749,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.31517712,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,21,Pmas,0.007791827,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.108360678,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,116,Gspp,0.002354478,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.628105426,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,110,Gspp,0.001723574,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.763570031,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,104,Gspp,0.006821542,2,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.166117467,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,103,Gspp,0.006751117,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.170624351,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,12,Pver,0.015205749,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-1.817992184,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,13,Pmas,0.002037013,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.691006287,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,15,Pmas,0.002590055,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.586691019,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,16,Pmas,0.007697755,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.113635911,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,18,Pmas,0.001145709,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.940925629,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,17,Pmas,0.002680252,2,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.571824387,BA
OCCH_BA1S_P1,OCCH_BA1S,OCCH,97,Menc,0.003418453,1,-18.6532,147.70859,S,0.178304179,18/01/2022,1/04/2022,4.12,2.186,2.145735,18.6,offshore,-2.466170368,BA
