"Estimate","Std. Error","z value","Pr(>|z|)"
"1|2",4.57741835657799,2.46843294503502,1.85438229779949,0.0636844855638616
"2|3",5.3970904304982,2.46894760487246,2.18598824043373,0.0288164656837574
"3|4",6.29583282857859,2.46955194326542,2.54938263021663,0.0107913828505334
"4|5",8.0172153251262,2.47131572416776,3.24410808652386,0.00117819028630607
"5|6",9.774780753336,2.47517885468586,3.94912098365376,7.84387021055482e-05
"log_area",-0.0649667451266635,0.147366329577949,-0.440852027140294,0.65932012555729
"TaxaAcor",-2.90532131140824,0.419043399187051,-6.93322294789657,4.11359119187918e-12
"TaxaAdgt",-0.436554475600571,0.758160554282555,-0.575807423816293,0.564745355062181
"TaxaAtab",-2.4908055435309,0.416685624406748,-5.9776613293947,2.26363713587006e-09
"TaxaGspp",0.322657310987548,1.06386215898438,0.303288643423105,0.761669900104456
"TaxaLobo_sp",-1.80258374328939,0.905634023796229,-1.99041080163192,0.0465457009877576
"TaxaMenc",-1.57226805342473,0.57910419579239,-2.71500027948061,0.00662757145292342
"TaxaPdam",-1.46470264248805,0.723096990458539,-2.02559637478126,0.0428061633453717
"TaxaPlat",-1.21081013297412,0.5701624141881,-2.12362320427293,0.033701663628411
"TaxaPmas",-3.82137326677619,0.522986291782916,-7.30683256295058,2.73513026838617e-13
"TaxaPver",-3.26149927679172,1.24813345643165,-2.61310139551597,0.00897246784295036
"TaxaShys",-0.83512280356072,0.523596585588613,-1.59497373845916,0.110718108532858
"TaxaSpis",1.48993436562625,0.690610196960379,2.15741726980572,0.0309731668141827
"ubedmean",-7.82573860201824,1.99575869403522,-3.92118477319289,8.81146627466147e-05
"Cross_shelfoffshore",-0.992153223910055,0.566716119631528,-1.75070584643885,0.0799965918540593
"fd_rugosity_plane",2.18175605999687,0.9637051495411,2.26392487477709,0.0235787357359362
"slope",-0.00545232045868623,0.00241834752685348,-2.25456449006742,0.0241606784613528
"DHW",0.384338892189887,0.29468488689659,1.30423686208502,0.192152835094201
"log_area:TaxaAcor",-0.789555350676191,0.284991059680997,-2.77045655944427,0.00559777666108312
"log_area:TaxaAdgt",0.381780587623024,0.441042180886665,0.865632821911722,0.386691550434065
"log_area:TaxaAtab",0.501252888635615,0.340393834435064,1.47256747310809,0.140867700850225
"log_area:TaxaGspp",0.638663116646663,0.504602382397561,1.26567598355784,0.205629110075572
"log_area:TaxaLobo_sp",-0.0723581366571959,0.457681596712806,-0.158097107633105,0.874380279724569
"log_area:TaxaMenc",-0.391648862979333,0.332591324197605,-1.17756788732901,0.238968918353701
"log_area:TaxaPdam",-1.47378843955944,0.465743544917251,-3.16437759716302,0.00155415018836184
"log_area:TaxaPlat",-0.102565319722971,0.344980375370044,-0.297307693554899,0.766231608458739
"log_area:TaxaPmas",-0.250969807036927,0.289641415755445,-0.86648453358214,0.386224504376238
"log_area:TaxaPver",-0.280925519965642,0.753106572022541,-0.373022265907452,0.709131872255527
"log_area:TaxaShys",-1.08681668597426,0.280938767301503,-3.86851802765936,0.000109498841878627
"log_area:TaxaSpis",0.323644890320098,0.365116804417141,0.886414666223736,0.375394118948561
"ubedmean:Cross_shelfoffshore",7.95697363194881,2.52995705897727,3.14510224737388,0.00166028791809549
